YORF	NAME	G0.05	G0.1	G0.15	G0.2	G0.25	G0.3	N0.05	N0.1	N0.15	N0.2	N0.25	N0.3	P0.05	P0.1	P0.15	P0.2	P0.25	P0.3	S0.05	S0.1	S0.15	S0.2	S0.25	S0.3	L0.05	L0.1	L0.15	L0.2	L0.25	L0.3	U0.05	U0.1	U0.15	U0.2	U0.25	U0.3
YMR277W	FCP1       || transcription* || phosphoprotein phosphatase activity* || YMR277W || 1085496	-0.24	-0.49	-0.09	0.07	0.13	0.13	0.68	0.45	-0.45	-0.58	-0.21	0.06	-0.57	-0.38	-0.42	-0.25	-0.18	-0.14	-0.26	-0.36	-0.44	-0.32	-0.35	-0.12	-0.29	-0.35	-0.02	-0.17	0.05	0.01	0.55	-0.17	0.13	-0.14	0.03	0.24
YNR049C	MSO1       || sporulation (sensu Fungi)* || molecular function unknown || YNR049C || 1086910	0.08	-0.01	-0.15	0.02	-0.08	0.04	-0.39	-0.37	-0.21	-0.24	-0.21	-0.22	0.13	-0.01	0.03	-0.05	-0.18	-0.41	0.73	-0.37	-0.14	-0.18	0	-0.14	0.08	0.27	0.25	0.17	0.08	0.1	0.75	0.09	-0.03	0.04	-0.01	-0.09
YER096W	SHC1       || sporulation (sensu Fungi)* || enzyme activator activity || YER096W || 1082647	1.89	1.65	1.1	0.73	1.24	0.85	1.96	1.54	1.08	1.42	1.12	0.88	2.1	1.57	1.53	1.06	0.69	0.55	0.94	1.12	0.48	0.34	0.28	0.42	1.87	1.5	1.15	1.03	0.46	0.4	1.66	0.69	-0.03	0.79	0.55	0.7
YKL135C	APL2       || vesicle-mediated transport || clathrin binding || YKL135C || 1083544	0.63	0.54	0.41	0.41	0.3	0.13	1.14	1.06	0.9	0.51	0.4	0.29	0.48	0.46	0.24	0.17	0.08	0.05	0.81	0.91	0.55	0.43	0.36	0.36	0.37	0.35	0.36	0.21	0.18	0.11	0.56	0.41	0.19	0.17	0.22	0.19
YGR034W	RPL26B     || protein biosynthesis || structural constituent of ribosome* || YGR034W || 1086100	-0.45	-0.21	-0.07	-0.19	-0.07	-0.01	-2.21	-1.7	0.02	-0.05	0.17	0.08	-0.96	-0.92	-0.48	-0.2	-0.18	-0.11	-1.94	-0.43	0.05	0.03	0.09	0.08	-0.53	-0.43	-0.28	-0.27	-0.2	0.04	-1.33	-0.18	0.17	0.1	-0.09	-0.21
YAR007C	RFA1       || DNA recombination* || damaged DNA binding* || YAR007C || 1086478	-0.36	-0.56	-0.42	-0.12	0.06	-0.02	0.45	0.38	-0.12	0.13	0.16	0.16	0.41	0.39	0.39	0.49	0.73	0.59	0.39	-0.07	0.17	0.16	0.35	0.14	-0.41	-0.15	0.29	0.14	0.05	0.3	-0.47	-0.4	0.02	0.06	0.01	0.01
YLR005W	SSL1       || transcription initiation from RNA polymerase II promoter* || general RNA polymerase II transcription factor activity || YLR005W || 1081131	0.31	0.29	0.28	0.24	0.14	0.2	1.22	0.81	-0.25	-0.13	-0.2	0.12	-0.28	-0.24	-0.49	-0.4	-0.14	-0.32	0.49	0.18	-0.12	-0.15	-0.19	-0.15	-0.23	-0.23	0	-0.08	0.13	0.06	-1.11	-0.17	0.09	-0.12	-0.11	0.21
YJL146W	IDS2       || meiosis || molecular function unknown || YJL146W || 1082614	0.37	0.23	0.2	0.24	0.08	0.14	1.14	0.68	0.71	0.46	0.3	0.47	0.26	0.26	0.19	-0.02	-0.01	-0.07	-0.28	0.38	-0.01	0.07	0.15	0.15	-0.09	-0.04	0.35	0.15	-0.1	0.06	-0.67	0.32	-0.03	-0.03	0	0.19
YGR043C	|| biological process unknown || transaldolase activity || YGR043C || 1082595	4.13	3.29	1.78	1.14	0.46	0.23	2.24	0.59	-0.2	-0.57	-0.53	-1.41	2.3	0.42	-0.75	-1.41	-1.82	-1.82	2.06	0.64	-0.89	-0.58	-0.48	-0.7	3.07	2.34	0.51	0.33	-0.28	-0.42	3.83	2.54	1.05	0.01	-0.44	-0.94
YBR259W	|| biological process unknown || molecular function unknown || YBR259W || 1086113	-0.13	0.09	0.09	0.03	-0.01	0.05	0.04	0.12	0.26	0.36	0.22	-0.02	0.09	0.17	0.63	1.05	0.32	0.27	-0.41	0.34	0.39	0.28	0.38	0.21	-0.18	0.32	-0.12	0.11	-0.02	0.15	-0.26	0.51	0.33	0.05	-0.01	-0.05
YPL106C	SSE1       || protein folding || unfolded protein binding* || YPL106C || 1082795	0.83	0.12	-0.02	0.03	0.03	0.13	0.68	-0.31	-0.64	-0.57	-0.21	-0.04	0.71	0.5	0.11	-0.26	0.05	0.01	0.43	-0.21	0.27	-0.09	0.01	-0.32	1.18	0.49	0.23	-0.08	-0.09	-0.03	-0.08	-0.02	-0.02	0.04	0.04	-0.1
YOR224C	RPB8       || transcription from RNA polymerase II promoter* || DNA-directed RNA polymerase activity || YOR224C || 1081460	-1.11	-0.63	-0.45	-0.32	0.08	0.32	-1.14	-0.6	-0.33	-0.28	0.04	0.26	-0.79	-0.47	-0.25	0.09	0.15	0.62	0.5	-0.77	-0.29	-0.1	0.04	0.1	-0.69	-0.46	-0.17	-0.03	-0.07	0.17	-0.1	-0.1	0.21	0.14	0.18	0.27
YPL249C-A	RPL36B     || protein biosynthesis || structural constituent of ribosome* || YPL249C-A || 1082793	-1.14	-0.39	-0.52	-0.51	-0.28	-0.19	-1.84	-2.03	-0.91	-0.59	0.04	-0.27	-1.35	-0.81	-0.36	0.06	0.22	0	-0.26	-0.35	0.37	-0.01	0.36	0.07	-0.29	-0.23	-0.15	-0.19	-0.02	0.18	-1.15	-0.38	0.22	0.25	-0.19	-0.24
YJR036C	HUL4       || protein monoubiquitination* || ubiquitin-protein ligase activity || YJR036C || 1080801	1.1	0.75	0.52	0.6	0.09	0.03	0.56	0.64	0.53	0.69	0.26	0.04	0.89	0.52	0.44	0.9	0.09	0.02	0.65	0.29	0.09	0.3	0.23	0.39	0.44	0.52	-0.04	0.09	0.11	0.13	0.87	0.23	-0.04	0.26	0.13	-0.08
YLR014C	"PPR1       || regulation of transcription, DNA-dependent* || transcription factor activity || YLR014C || 1084840"	-0.33	-0.16	-0.33	-0.73	-0.37	-0.25	-0.56	-0.78	-0.11	-0.45	-0.31	-0.36	0.69	0.69	0.78	0.95	0.69	0.56	-0.24	-0.19	0.1	-0.22	-0.09	-0.34	-0.26	-0.17	-0.15	-0.24	-0.09	-0.28	-0.94	-0.28	-0.23	-0.06	-0.25	-0.26
YOR204W	DED1       || translational initiation || RNA helicase activity || YOR204W || 1081778	-0.95	-0.73	-0.7	-0.21	-0.25	-0.19	0.19	0.32	-0.42	-0.68	-0.61	0.08	-1.76	-1.14	-0.97	-0.78	-0.22	-0.19	-2.38	-0.23	-0.6	-0.7	-0.79	-0.29	-1.19	-0.77	-0.56	-0.41	-0.16	-0.14	-2.27	-0.53	-0.32	-0.6	-0.22	0.36
YKR045C	|| biological process unknown || molecular function unknown || YKR045C || 1082410	-0.34	-0.39	-0.32	0	-0.02	0.11	-0.41	-0.49	-0.5	-0.5	-0.4	0.02	0.12	0.22	0.76	0.49	0.33	0.47	-0.96	-0.29	-0.26	-0.19	-0.3	0.05	0.12	-0.21	0.08	0.12	0.23	0.12	0.43	-0.15	0.02	0.1	0.11	0.32
YDL119C	|| transport || transporter activity || YDL119C || 1084066	-0.2	0.02	-0.08	0.01	-0.05	0.02	-0.57	-0.49	-0.24	-0.22	-0.25	-0.22	-0.81	-0.86	-0.79	-1.07	-0.84	-0.88	-0.67	-0.5	-0.19	-0.24	-0.04	-0.18	-0.68	-0.19	-0.3	-0.02	-0.11	0.22	-0.95	-0.24	-0.02	-0.24	-0.06	0.06
YHR098C	SFB3       || ER to Golgi transport || molecular function unknown || YHR098C || 1080630	-0.58	-0.69	-0.31	-0.02	0.03	0.17	-0.3	-0.54	-0.76	-0.47	-0.35	0.19	-0.35	-0.29	-0.15	0.13	0.4	0.59	-1.07	-0.52	-0.42	-0.24	-0.38	-0.12	-0.36	0.01	0.19	0.09	0.15	0.16	-1.01	-0.24	0.06	-0.11	0.03	0.25
YGR023W	MTL1       || cell wall organization and biogenesis || molecular function unknown || YGR023W || 1080930	0.5	-0.12	0.25	0.24	0.13	0.02	0.19	-0.19	-0.34	-0.15	-0.6	-0.14	0.34	-0.14	-0.31	-0.09	-0.01	0.2	0.113956	-0.07	0.01	0.11	-0.31	-0.03	0.39	0.09	0.25	-0.02	-0.06	-0.1	0.339121	0.5	0.29	-0.14	0.47	0.27
YGR239C	PEX21      || protein-peroxisome targeting || protein binding* || YGR239C || 1083598	1.17	1.31	1.09	0.55	0.21	0.16	0.39	0.08	-0.14	-0.29	-0.12	0.02	-0.57	-0.54	-0.89	-0.96	-0.96	-0.8	0.19	0.31	0.33	0.06	0.01	-0.12	0.86	0.54	0.42	0.33	0.11	-0.1	0.64	-0.36	-0.33	0.04	-0.36	-0.16
YOR007C	SGT2       || biological process unknown || molecular function unknown || YOR007C || 1085183	1.41	0.89	0.58	0.35	0.02	0.18	0.54	0.07	0.54	0.21	0.25	-0.09	1.21	0.61	0.7	0.27	0.28	-0.28	1.44	1.12	0.68	0.34	0.51	0.09	1.18	0.97	0.39	0.18	0.07	-0.04	1.28	0.41	-0.03	-0.14	-0.24	-0.25
YJL155C	"FBP26      || glucose metabolism || fructose-2,6-bisphosphate 2-phosphatase activity* || YJL155C || 1085271"	1.09	0.84	0.7	0.56	0.15	-0.24	1.34	1.02	0.88	0.75	0.34	-0.08	0.75	0.25	0.11	-0.07	-0.41	-0.38	1.3	0.92	0.5	0.35	0.44	0.18	1.25	0.75	0.4	0.2	-0.1	-0.08	1.79	0.85	0.37	0.24	-0.01	-0.11
YCR024C-A	PMP1       || cation transport || enzyme regulator activity || YCR024C-A || 1080747	0.01	0.49	0.12	-0.04	-0.05	-0.29	-0.78	-0.58	0.12	0.7	-0.02	-0.3	0.2	0.16	0.2	0.23	-0.2	-0.32	-2.65	0.22	0.38	0.31	0.09	0.33	-0.16	-0.19	-0.26	-0.21	-0.32	-0.29	-1.5	0.69	0.43	0.15	0.13	-0.1
YMR266W	|| biological process unknown || molecular function unknown || YMR266W || 1083989	-0.59	-0.29	0.14	-0.02	-0.23	-0.12	0.51	0.57	0.64	0.24	0.32	0.51	1.29	1.33	1.7	1.66	1.04	0.9	-0.2	0.21	0.07	-0.06	-0.29	0.01	0.21	0.04	0.36	0.21	0.13	0.04	-0.23	0.17	-0.25	0.13	0.15	0.11
YKL090W	CUE2       || biological process unknown || protein binding || YKL090W || 1085005	-0.16	0.17	-0.29	-0.18	0.16	0.09	-0.34	-0.07	0.48	0.21	0.46	0.26	0.6	0.27	-0.08	0.02	0.01	0.12	0.18	-0.1	0.13	0.13	0.2	0.11	-0.01	0.18	-0.07	0.17	0.27	0.33	0.28	-0.01	0.14	0.26	0.15	0.12
YKR025W	RPC37      || transcription from RNA polymerase III promoter || DNA-directed RNA polymerase activity || YKR025W || 1085670	0.11	0.05	-0.38	-0.39	-0.12	0.03	0.27	0.16	-0.21	-0.31	-0.05	0.03	0.05	0.23	0.18	0.08	0.3	0.27	0.63	-0.05	0.1	-0.08	-0.05	-0.15	0.01	0.02	-0.31	-0.19	-0.08	0.08	-0.04	-0.52	-0.2	-0.26	-0.27	0.05
YOR213C	SAS5       || chromatin silencing at telomere || acetyltransferase activity* || YOR213C || 1085451	1	1.14	0.17	0.05	-0.01	-0.03	1.04	1.09	0.75	-0.26	-0.32	-0.26	-0.57	-0.04	-0.09	-0.17	-0.1	-0.36	1.93	1.02	0.37	0.19	0.03	-0.12	0.05	0.37	-0.06	-0.22	-0.29	-0.31	0.03	0.28	-0.11	-0.45	-0.41	-0.41
YNR018W	|| biological process unknown || molecular function unknown || YNR018W || 1083841	0.23	0.35	0.47	0.4	0.12	-0.08	0.33	0.22	-0.7	-0.93	-0.58	-0.59	-0.04	0	-0.15	-0.82	-0.52	-0.71	0.09	-0.34	-0.62	-0.63	-0.43	-0.64	0.23	-0.03	-0.05	-0.13	-0.23	-0.26	0.72	-0.03	-0.17	-0.3	-0.51	-0.41
YHR078W	|| biological process unknown || molecular function unknown || YHR078W || 1086315	0.4	0.2	0.4	0.15	0.06	0.09	0.22	-0.01	0.16	-0.02	0.15	0.3	0.91	0.8	0.73	0.82	0.49	0.72	-0.69	-0.21	-0.24	-0.2	-0.15	-0.01	0.33	0.39	0.01	0.19	0.2	0.15	-0.29	0.34	0.17	0.08	0.33	0.43
YER094C	PUP3       || ubiquitin-dependent protein catabolism || endopeptidase activity || YER094C || 1084490	-0.12	0.2	0.03	0	-0.02	-0.05	-0.72	-0.7	-0.37	0.1	-0.05	-1.58	0.04	-0.03	0.3	0.06	0.37	0.22	-0.36	-0.09	0.61	0.33	0.41	0.12	0.34	0.38	0.32	0.13	-0.04	0.07	-0.09	-0.19	0.02	0.22	-0.18	-0.18
YMR275C	BUL1       || mitochondrion inheritance* || protein binding* || YMR275C || 1084237	0.02	-0.04	0.05	-0.06	-0.08	-0.06	0.5	0.35	0.29	-0.01	-0.02	0.4	0.27	0.35	0.05	0.14	0.01	0.22	0.19	0.23	0.21	0.17	-0.05	0	0.17	-0.09	0.07	-0.12	-0.17	-0.01	0.08	0.09	-0.08	-0.04	0	-0.08
YJR025C	"BNA1       || NAD biosynthesis || 3-hydroxyanthranilate 3,4-dioxygenase activity || YJR025C || 1083917"	0.45	0.93	-0.36	-0.73	-0.66	-0.47	-0.96	-0.69	0.06	0.13	-0.17	-0.54	1.58	1.65	1.26	0.75	0.84	0.73	-1.76	-0.74	-0.66	-0.53	-0.18	-0.41	1.01	1.32	0.79	0.71	0.15	-0.18	-0.16	-0.61	-0.77	0.28	-0.51	-0.74
YLR003C	|| regulation of DNA replication || molecular function unknown || YLR003C || 1083365	0.05	0.31	-0.3	-0.51	-0.17	0.29	-0.69	-0.49	0.31	0.38	0.26	0.07	0.81	0.67	0.72	0.62	0.29	0.27	0.13	0.32	0.34	0.02	0.06	-0.05	-0.4	0.01	-0.26	-0.2	0	0.06	-0.81	-0.36	-0.03	-0.08	-0.16	0.01
YLR089C	|| biological process unknown || transaminase activity || YLR089C || 1086878	0.58	0.68	0.68	0.22	0.09	0.25	1.89	1.9	-0.12	-0.02	-0.36	0.22	-2.04	-1.7	-1.55	-1.45	-1.07	-1.05	0.94	0.74	-0.23	-0.15	-0.29	-0.09	0.88	0.2	0.32	-0.18	-0.95	-1.78	-1.12	-1.57	-1.56	-1.72	-1.62	-1.38
YMR255W	GFD1       || mRNA-nucleus export || molecular function unknown || YMR255W || 1082503	0.34	0.21	0.37	0.26	-0.06	-0.05	0.57	0.24	0.54	0.58	0.54	0.19	1.28	1.11	1.33	1.26	1	0.61	1.13	0.68	0.65	0.33	0.27	0.06	0.32	0.17	0.03	-0.08	-0.13	-0.26	0.59	0.16	0.03	-0.09	-0.22	-0.34
YGR012W	|| biological process unknown || cysteine synthase activity || YGR012W || 1080757	0.27	0.02	0.12	0.11	0.13	0.34	-0.08	0.01	-0.37	0.14	0.03	0.05	-0.91	-0.79	-0.66	-0.93	-0.34	-0.6	-0.5	-0.38	-0.05	-0.1	0.18	-0.08	-0.01	0.33	0.42	0.42	0.34	0.45	-0.75	-0.1	0.02	0.11	0.18	0.15
YKL113C	RAD27      || DNA repair* || 5'-flap endonuclease activity || YKL113C || 1083443	-0.51	-0.6	-0.76	-0.59	-0.18	0.07	0.69	0.19	-0.27	-0.09	-0.04	0.04	0.25	0.39	0.18	0.01	0.43	0.3	-0.01	-0.22	-0.15	-0.29	-0.11	-0.25	-0.71	-0.54	-0.01	-0.14	0.04	0.14	-0.58	-0.69	-0.16	-0.08	-0.26	0.01
YER074W	RPS24A     || protein biosynthesis || structural constituent of ribosome || YER074W || 1082150	-0.2	0.07	0.15	-0.08	0.19	0.21	-1.79	-1.2	0.18	0.3	0.42	0.1	0.05	0.05	0.39	0.48	0.35	0.68	-0.45	-0.12	0.09	0.08	0.04	0.12	0.02	-0.01	-0.11	0.02	0.02	0.09	-0.43	-0.14	0.15	0.1	-0.04	0
YKL199C	||  ||  || YKL199C || 1085647	0.65	0.19	0.55	0.56	0.22	0.11	1.04	1.12	-0.19	-0.07	-0.14	0.3	-0.38	0.14	-0.02	0.08	0.19	-0.15	0.254063	0.35	-0.08	0.15	-0.38	-0.08	0.33	-0.01	0.3	0.26	0.46	0.06	1.27	0.45	0.35	0.19	0.38	0.53
YNL106C	INP52      || cell wall organization and biogenesis* || inositol-polyphosphate 5-phosphatase activity || YNL106C || 1085026	0.14	-0.05	0.43	0.74	0.28	0.32	0.59	0.53	0.42	-0.15	0.18	0.43	0.11	-0.42	-0.38	-0.55	-0.56	-0.33	0.15	0.24	0.12	0.09	0.05	0.13	0.42	0.22	0.06	0.06	-0.05	0.08	0.95	0.35	0.29	0.04	0.27	0.28
YER083C	RMD7       || cell wall organization and biogenesis || molecular function unknown || YER083C || 1084831	-0.18	-0.35	-0.12	-0.14	-0.07	0.02	0.46	0.51	-0.18	-0.2	-0.11	0.25	-0.26	-0.17	-0.41	-0.24	-0.41	-0.02	-0.43	-0.09	-0.21	-0.04	-0.25	-0.14	-0.15	-0.23	0.16	0.12	0.02	0.03	0.26	0.05	-0.11	-0.16	0.14	0.18
YBR237W	"PRP5       || U2-type nuclear mRNA branch site recognition || RNA splicing factor activity, transesterification mechanism* || YBR237W || 1080954"	0.39	0.55	0.2	0.11	-0.1	0.01	0.91	0.49	0.34	0.03	0.03	-0.28	0.47	0.46	0.24	0.19	-0.01	-0.27	0.73	0.74	0.04	0.21	0.2	-0.04	0.5	0.42	-0.17	-0.19	-0.08	-0.15	0.73	0.06	-0.12	-0.13	-0.2	-0.13
YCR009C	RVS161     || endocytosis* || cytoskeletal protein binding || YCR009C || 1085010	0.29	0.09	0.27	0.16	-0.18	-0.2	0.44	0.65	1.11	0.89	0.64	0.25	0.79	0.67	0.35	0.43	0.13	-0.14	1.24	0.83	0.79	0.53	0.62	0.26	0.19	0.24	0.3	0.21	0.15	0.17	0.58	0.99	0.45	0.61	0.23	0.05
YJR005W	APL1       || vesicle-mediated transport || molecular function unknown || YJR005W || 1082207	0.04	-0.09	-0.03	-0.02	0.09	-0.11	-0.23	-0.18	-0.18	-0.23	-0.26	-0.17	0.48	0.28	0.37	0.23	0.06	0	0.03	-0.23	-0.2	-0.18	-0.26	-0.09	0.58	0.09	0.34	0.2	0.05	0.07	0.46	-0.05	-0.1	0.12	-0.25	-0.17
YHR067W	HTD2       || fatty acid biosynthesis || 3-hydroxyacyl-[acyl-carrier protein] dehydratase activity || YHR067W || 1082313	-0.3	0.19	0.25	0.21	-0.02	-0.04	0.01	0.49	0.67	0.38	0.24	-0.08	-0.32	-0.13	-0.11	-0.25	-0.24	-0.4	1.13	0.7	0.28	0.33	0.53	0.25	0.14	0.14	0.12	0.22	0	0.09	0.09	0.64	0.24	0.29	-0.06	-0.11
YML117W	NAB6       || biological process unknown || RNA binding || YML117W || 1085226	0.56	0.29	0.84	0.7	0.19	0.13	1.22	0.69	0.1	-0.7	0.2	0.22	0.27	0.27	0.08	-0.09	-0.29	-0.34	0.41	0.47	0.37	0.29	0.33	0.14	0.89	0.31	0.39	0.15	0.25	0.13	1.46	0.61	0.52	0.42	0.12	0.22
YGR208W	SER2       || serine family amino acid biosynthesis || phosphoserine phosphatase activity || YGR208W || 1085437	-0.96	-0.64	-0.85	-0.89	-0.37	0.13	-1.96	-1.22	0.06	0.16	0.43	0.1	-0.24	-0.07	0.1	0.24	0.7	0.88	-1.09	-0.73	-0.23	-0.15	0.07	-0.1	-0.6	0.18	0.32	0.43	0.35	0.53	-1.13	-0.69	-0.09	0.54	-0.04	0.28
YOR288C	MPD1       || protein folding || protein disulfide isomerase activity || YOR288C || 1086341	-1.09	-0.81	-0.37	-0.19	-0.12	-0.06	-1.48	-1.17	-0.3	-0.07	0.1	0.18	0.35	0.4	0.84	1.08	0.82	0.99	-1.81	-0.89	-0.59	-0.4	-0.15	-0.07	-0.69	-0.49	-0.24	-0.04	0.16	0.07	-0.98	-0.19	-0.02	0.12	0.09	0.2
YNR016C	ACC1       || protein-nucleus import* || acetyl-CoA carboxylase activity* || YNR016C || 1081971	1.35	1.14	1.62	1.21	0.91	0.76	1.99	1.15	0.5	0.13	0.14	0.12	-0.11	-0.24	-0.37	-0.57	-0.95	-0.99	1.28	0.2	-0.25	-0.25	-0.19	-0.44	1.34	0.69	0.24	-0.31	-0.36	-0.36	1.14	1.07	0.29	0.17	-0.1	-0.3
YMR047C	NUP116     || mRNA-nucleus export* || structural molecule activity || YMR047C || 1083197	0.75	0.48	0.52	0.36	0.28	0.13	1.35	1.15	0.05	0.04	0.06	0.04	-0.34	-0.17	-0.25	-0.57	-0.47	-0.49	0.98	0.56	-0.05	0.1	0.08	0.07	0.71	0.44	0.39	0.23	0.11	0.08	1.23	0.13	0.18	0.18	0.13	0.13
YER063W	"THO1       || transcription, DNA-dependent || molecular function unknown || YER063W || 1081240"	-0.23	0.02	0.45	0.27	-0.03	0.09	-0.55	-0.23	0.03	0.18	0.22	-0.03	0.14	0.23	0.24	0.34	0.4	0	-0.51	-0.13	-0.22	0	0.1	0.03	-0.14	-0.09	0.2	0.17	0	0.03	-0.34	-0.22	0.03	0.18	-0.11	-0.05
YLR078C	BOS1       || ER to Golgi transport || v-SNARE activity || YLR078C || 1082293	0.3	0.26	0	-0.15	-0.02	0.08	-0.24	-0.15	0.48	0.43	0.41	-0.03	0.09	0.12	0.19	0.09	0.06	-0.2	0.04	0.18	0.48	0.22	0.36	0.09	-0.04	-0.03	0.19	0.19	0.12	0.19	0.23	0.33	0.28	0.46	0.03	-0.03
YML126C	ERG13      || ergosterol biosynthesis || hydroxymethylglutaryl-CoA synthase activity || YML126C || 1085492	0.06	-0.05	0.36	0.44	0.35	0.37	0.42	0.58	-0.31	0.15	-0.21	0.5	-0.53	-0.5	-0.69	-0.54	-0.3	-0.17	0.11	-0.29	-0.31	-0.06	-0.05	0.09	-0.05	-0.04	0.23	0.1	0.18	0.24	0.16	0.56	0.38	0.18	0.35	0.29
YIR025W	MND2       || mitotic sister chromatid segregation* || molecular function unknown || YIR025W || 1085792	1.07	0.57	0.66	0.49	0.14	0.17	1.13	0.75	0.29	0.27	0.3	0.13	0.2	0.13	0.14	-0.17	-0.17	-0.46	1.67	0.55	0.32	0.17	0.17	0.01	0.79	0.56	0.15	-0.02	-0.15	0.01	0.9	0.43	-0.02	-0.1	-0.28	0.1
YKL188C	"PXA2       || fatty acid transport || ATPase activity, coupled to transmembrane movement of substances || YKL188C || 1085745"	2.2	1.74	0.93	0.66	0.11	-0.18	0.99	0.46	0.56	0.34	0.12	-0.29	1.23	0.77	0.61	0.69	0	-0.14	0.61	0.25	0.86	0.48	0.54	0.31	0.67	0.3	-0.48	-0.46	-0.41	-0.19	0.99	-0.29	-0.2	-0.6	-0.63	-0.66
YMR253C	|| biological process unknown || molecular function unknown || YMR253C || 1086063	0.26	0.16	0.21	0.2	-0.19	0.2	1.41	1.19	0.64	0.63	0.39	0.63	0.59	0.84	0.78	0.63	0.92	0.64	0.57	0.69	0.15	0.29	0.02	-0.14	0.36	0.76	0.67	0.28	0.29	-0.16	0.17	0.43	-0.19	-0.39	-0.29	0.02
YKR003W	OSH6       || steroid biosynthesis || oxysterol binding || YKR003W || 1083586	0.52	0.44	0.52	0.48	0.03	0.11	0.12	0.35	0.76	0.84	0.62	0.23	0.37	0.24	0.36	0.11	0.13	-0.08	0.11	0.66	0.26	0.39	0.48	0.45	0.27	0.38	0.24	0.26	0.16	0.27	0.71	0.74	0.42	0.34	0.22	0.23
YBR029C	CDS1       || phosphatidylglycerol biosynthesis* || phosphatidate cytidylyltransferase activity || YBR029C || 1084597	-1.21	-1.18	-0.62	-0.42	-0.22	-0.28	-1.46	-1.08	-0.84	-0.73	-0.56	-0.33	-0.79	-0.69	-0.7	-0.55	-0.33	-0.18	-1.73	-0.72	-0.9	-0.65	-0.79	-0.32	-1.2	-0.57	-0.46	-0.34	-0.2	-0.46	-2.11	-0.11	-0.33	-0.46	-0.17	-0.09
YFR041C	ERJ5       || biological process unknown || molecular function unknown || YFR041C || 1080821	-0.92	-0.74	-0.62	-0.68	-0.44	-0.21	-1.56	-1.38	-0.15	0.12	0.48	0.01	0.92	0.69	0.6	0.86	0.68	0.63	-0.94	-0.55	-0.06	-0.01	0.1	0.08	-0.42	-0.39	-0.11	0.03	-0.02	0.12	-0.89	-0.48	-0.06	0.26	-0.13	-0.08
YPL159C	PET20      || biological process unknown || molecular function unknown || YPL159C || 1085896	0.81	0.51	0.4	0.53	0.13	0.04	1.56	1.39	0.96	0.59	0.3	0.15	0.56	0.36	-0.03	-0.04	-0.29	-0.42	1.99	0.92	0.53	0.3	0.05	0.27	0.83	0.12	0.08	-0.02	-0.19	-0.14	1.09	0.93	0.43	0.01	0.09	0.06
YMR027W	|| biological process unknown || molecular function unknown || YMR027W || 1081217	0.33	0.23	0.47	0.46	0.02	0.03	0.77	0.45	0.19	0.3	-0.07	-0.02	0.68	0.22	0.29	-0.03	0.09	-0.35	0.63	0.26	0.08	-0.02	0.08	-0.26	0.79	0.88	0.74	0.48	0.27	0.33	1.42	0.76	0.34	0.45	0.15	-0.04
YML106W	URA5       || 'de novo' pyrimidine base biosynthesis || orotate phosphoribosyltransferase activity || YML106W || 1083984	0.77	0.85	0.44	0.18	0.19	0.18	1.46	2	1.79	0.88	0.8	0.46	-0.57	0.08	0	-0.06	-0.04	-0.14	2.11	1.36	0.84	0.57	0.61	0.34	-0.05	0.43	0.1	0.07	0.04	0.03	0.33	0.83	0.49	0.03	0.21	0.18
YOR277C	||  ||  || YOR277C || 1086626	-0.57	-0.31	0	0.29	0.27	0.59	-0.99	-0.42	0.04	0.58	0.44	0.55	-0.38	0.29	-0.02	0.13	0.32	0.88	0.52	-0.2	0.7	0.5	0.85	0.45	-0.11	0.27	0.38	0.63	0.76	0.78	0.54	0.43	0.51	0.85	0.42	0.66
YJR003C	|| biological process unknown || molecular function unknown || YJR003C || 1083364	-0.53	-0.48	-0.73	-0.59	-0.23	0.06	-1.22	-1.26	-0.32	-0.14	0.17	0.21	0.33	0.2	0.39	0.43	0.42	0.7	-0.48	-0.58	-0.14	-0.11	0.03	0.02	-0.8	-0.4	-0.19	-0.17	0.08	0.21	-1.59	-0.69	-0.24	0.05	-0.08	0.07
YIR034C	"LYS1       || lysine biosynthesis via aminoadipic acid || saccharopine dehydrogenase (NAD+, L-lysine-forming) activity || YIR034C || 1082386"	0.97	0.48	-0.14	-0.18	0.01	0.33	-0.08	-0.26	-1.1	-0.59	-0.75	0.19	-0.8	-0.76	-0.6	-0.73	-0.26	0.15	-0.97	-0.42	-0.35	-0.27	-0.4	-0.18	0.47	0.23	0.06	-0.02	-0.42	-0.17	-0.56	0.58	-0.04	-0.27	-0.01	0.1
YKR012C	||  ||  || YKR012C || 1085619	0.36	0.04	-0.86	-0.6	0.05	0.18	-0.6	-0.52	-0.76	-0.81	-0.69	-0.41	-0.1	-0.16	-0.56	-0.57	-0.52	-0.08	-0.23087	-1.08	-0.7	-0.8	-0.86	-0.37	0.53	-0.13	-0.28	-0.13	0.05	-0.03	0.82	-1.24	-0.93	-0.32	-0.48	0.2
YHR065C	RRP3       || 35S primary transcript processing || ATP-dependent RNA helicase activity || YHR065C || 1083227	-0.67	-0.45	-0.19	-0.28	-0.19	-0.18	-0.92	-1.09	-0.72	-0.41	-0.06	-0.11	-0.18	0.18	0.18	0.11	0.31	0.13	-0.93	-0.58	0	-0.23	-0.15	-0.26	-0.4	-0.34	-0.14	-0.23	-0.04	-0.17	-0.71	-0.43	-0.1	0.1	-0.2	-0.13
